air_temp,dni,ghi,period_end,period
11,0,0,2022-01-01T00:10:00Z,PT10M
11,0,0,2022-01-01T00:20:00Z,PT10M
11,0,0,2022-01-01T00:30:00Z,PT10M
11,0,0,2022-01-01T00:40:00Z,PT10M
11,0,0,2022-01-01T00:50:00Z,PT10M
11,0,0,2022-01-01T01:00:00Z,PT10M
11,0,0,2022-01-01T01:10:00Z,PT10M
11,0,0,2022-01-01T01:20:00Z,PT10M
11,0,0,2022-01-01T01:30:00Z,PT10M
11,0,0,2022-01-01T01:40:00Z,PT10M
11,0,0,2022-01-01T01:50:00Z,PT10M
11,0,0,2022-01-01T02:00:00Z,PT10M
11,0,0,2022-01-01T02:10:00Z,PT10M
11,0,0,2022-01-01T02:20:00Z,PT10M
11,0,0,2022-01-01T02:30:00Z,PT10M
10,0,0,2022-01-01T02:40:00Z,PT10M
10,0,0,2022-01-01T02:50:00Z,PT10M
10,0,0,2022-01-01T03:00:00Z,PT10M
10,0,0,2022-01-01T03:10:00Z,PT10M
10,0,0,2022-01-01T03:20:00Z,PT10M
10,0,0,2022-01-01T03:30:00Z,PT10M
10,0,0,2022-01-01T03:40:00Z,PT10M
10,0,0,2022-01-01T03:50:00Z,PT10M
10,0,0,2022-01-01T04:00:00Z,PT10M
10,0,0,2022-01-01T04:10:00Z,PT10M
10,0,0,2022-01-01T04:20:00Z,PT10M
10,0,0,2022-01-01T04:30:00Z,PT10M
10,0,0,2022-01-01T04:40:00Z,PT10M
10,0,0,2022-01-01T04:50:00Z,PT10M
10,0,0,2022-01-01T05:00:00Z,PT10M
10,0,0,2022-01-01T05:10:00Z,PT10M
10,0,0,2022-01-01T05:20:00Z,PT10M
10,0,0,2022-01-01T05:30:00Z,PT10M
11,0,0,2022-01-01T05:40:00Z,PT10M
11,0,0,2022-01-01T05:50:00Z,PT10M
11,0,0,2022-01-01T06:00:00Z,PT10M
11,0,0,2022-01-01T06:10:00Z,PT10M
11,0,0,2022-01-01T06:20:00Z,PT10M
11,0,0,2022-01-01T06:30:00Z,PT10M
11,0,0,2022-01-01T06:40:00Z,PT10M
11,0,0,2022-01-01T06:50:00Z,PT10M
11,0,0,2022-01-01T07:00:00Z,PT10M
11,0,0,2022-01-01T07:10:00Z,PT10M
11,0,0,2022-01-01T07:20:00Z,PT10M
11,0,0,2022-01-01T07:30:00Z,PT10M
11,0,0,2022-01-01T07:40:00Z,PT10M
11,0,0,2022-01-01T07:50:00Z,PT10M
11,0,0,2022-01-01T08:00:00Z,PT10M
11,0,0,2022-01-01T08:10:00Z,PT10M
11,0,0,2022-01-01T08:20:00Z,PT10M
11,0,0,2022-01-01T08:30:00Z,PT10M
11,0,0,2022-01-01T08:40:00Z,PT10M
11,0,0,2022-01-01T08:50:00Z,PT10M
11,0,0,2022-01-01T09:00:00Z,PT10M
11,0,0,2022-01-01T09:10:00Z,PT10M
11,0,0,2022-01-01T09:20:00Z,PT10M
11,0,0,2022-01-01T09:30:00Z,PT10M
11,0,0,2022-01-01T09:40:00Z,PT10M
11,0,0,2022-01-01T09:50:00Z,PT10M
11,0,0,2022-01-01T10:00:00Z,PT10M
11,0,0,2022-01-01T10:10:00Z,PT10M
